title,link
'BTS가 소개' 코웨이 스마트 매트리스…비렉스 첫 광고,http://www.newsis.com/view/?id=NISX20230109_0002152297&cID=13001&pID=13000
"BTS 진, 영상으로 깜짝 인사…""기다려주시면 금방 나타날게요""",https://www.yna.co.kr/view/AKR20230109133600005?input=1195m
입대한 BTS 진의 깜짝 영상편지‥.“조금만 기다려주세요”,https://www.chosun.com/entertainments/enter_general/2023/01/10/EXLIKVNHYRACFDEG5NTXDANLYI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"'입대' BTS 진, 영상편지 어떻게 찍었지…팬들에게 ""기다려줘""",http://news.mt.co.kr/mtview.php?no=2023011009192986718
‘컴백’ 태양·BTS 지민 ‘바이브’ 13일 발매… 테디 참여,https://isplus.com/article/view/isp202301090131
빵집 대신 편의점...BTS 진도 `편의점 빵지순례`,https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202301090215&t=NNv
BTS 진 ‘중대장 훈련병’ 됐다,https://www.seoul.co.kr/news/newsView.php?id=20230109020020&wlog_tag3=naver
"BTS, 골든디스크 6년 연속 대상",http://www.fnnews.com/news/202301080329292493
"BTS 진, 동기들이 ‘중대장 훈련병’ 추대…화생방 훈련 사진 공개",https://news.kbs.co.kr/news/view.do?ncd=6929576&ref=A
"BTS, 6년 연속 골든디스크 대상…음반 대상 등 4관왕",https://biz.chosun.com/entertainment/2023/01/08/UWNXIJRLJRH4VJDKZMKLJQAOSU/?utm_source=naver&utm_medium=original&utm_campaign=biz
